Title,Author,Full Price,Discount Price,Discounted Amount,ISBN,URl
Mary Makes it Easy,Mary Berry,£28.00 , £21.13 ,£6.87,9781785948428,https://www.awesomebooks.com/book/9781785948428/mary-makes-it-easy
With You Every Step,Rob Burrow,£10.00 , £8.52 ,£1.48,9781035040803,https://www.awesomebooks.com/book/9781035040803/with-you-every-step
Guinness World Records 2024,,£22.00 , £17.63 ,£4.37,9781913484385,https://www.awesomebooks.com/book/9781913484385/guinness-world-records-2024
Iron Flame,Rebecca Yarros,£22.00 , £17.20 ,£4.80,9780349437026,https://www.awesomebooks.com/book/9780349437026/iron-flame
"Friends, Lovers and the Big Terrible Thing",Matthew Perry,£25.00 , £20.27 ,£4.73,9781472295934,https://www.awesomebooks.com/book/9781472295934/friends-lovers-and-the-big-terrible-thing
Diary of a Wimpy Kid: No Brainer (Book 18),Jeff Kinney,£14.99 , £10.78 ,£4.21,9780241583135,https://www.awesomebooks.com/book/9780241583135/diary-of-a-wimpy-kid-no-brainer-book-18
The Year of the Locust,Terry Hayes,£22.00 , £17.20 ,£4.80,9780593064962,https://www.awesomebooks.com/book/9780593064962/the-year-of-the-locust
GHOSTS: The Button House Archives,Mat Baynton,£20.00 , £15.32 ,£4.68,9781526669902,https://www.awesomebooks.com/book/9781526669902/ghosts-the-button-house-archives
The Last Devil To Die,Richard Osman,£22.00 , £17.20 ,£4.80,9780241512449,https://www.awesomebooks.com/book/9780241512449/the-last-devil-to-die
5 Ingredients Mediterranean,Jamie Oliver,£28.00 , £21.13 ,£6.87,9780241431160,https://www.awesomebooks.com/book/9780241431160/5-ingredients-mediterranean
My Account,Coleen Rooney,£22.00 , £17.20 ,£4.80,9780241673263,https://www.awesomebooks.com/book/9780241673263/my-account
That's Not My Christmas Tree...,Rachel Wells,£12.99 , £11.53 ,£1.46,9781803707778,https://www.awesomebooks.com/book/9781803707778/thats-not-my-christmas-tree
Fourth Wing,Rebecca Yarros,£20.00 , £16.03 ,£3.97,9780349436999,https://www.awesomebooks.com/book/9780349436999/fourth-wing
Tackle!,Jilly Cooper,£22.00 , £17.20 ,£4.80,9781787634244,https://www.awesomebooks.com/book/9781787634244/tackle
The Psychology of Money,Morgan Housel,£14.99 , £11.99 ,£3.00,9780857197689,https://www.awesomebooks.com/book/9780857197689/the-psychology-of-money
The Blunders,David Walliams,£14.99 , £13.41 ,£1.58,9780008305840,https://www.awesomebooks.com/book/9780008305840/the-blunders
Stuart Broad: The Autobiography,Stuart Broad,£25.00 , £18.95 ,£6.05,9781399729345,https://www.awesomebooks.com/book/9781399729345/stuart-broad-the-autobiography
"Tomorrow, and Tomorrow, and Tomorrow",Gabrielle Zevin,, £10.43 ,,9781529115543,https://www.awesomebooks.com/book/9781529115543/tomorrow-and-tomorrow-and-tomorrow
Bored of Lunch: The Healthy Slow Cooker Book,Nathan Anthony,£18.99 , £15.44 ,£3.55,9781529903546,https://www.awesomebooks.com/book/9781529903546/bored-of-lunch-the-healthy-slow-cooker-book
The Housemaid,Freida McFadden,£9.99 , £8.83 ,£1.16,9781408728512,https://www.awesomebooks.com/book/9781408728512/the-housemaid
